ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
SUBSIDY,MASC913802,1-1M1ACWHO,4/23/2014,0
Upgrade,MASC907665,1-1LZIC50J,4/22/2014,25
SUBSIDY,MASC907665,1-1LZIC50J,4/22/2014,0
Service,MASC914117,1-1LY5WKLO,4/22/2014,-37
Service,MASC995064,1-1M2135G9,4/22/2014,37
SUBSIDY,MASC995064,1-1M2135G9,4/22/2014,0
New Install,MASC910284,1-1LWV769S,4/22/2014,60
SUBSIDY,MASC910284,1-1LWV769S,4/22/2014,0
New Install,MASC995064,1-1M0T3MP8,4/22/2014,60
SUBSIDY,MASC995064,1-1M0T3MP8,4/22/2014,0
New Install,MASC911659,1-1M1EOWV9,4/22/2014,60
SUBSIDY,MASC911659,1-1M1EOWV9,4/22/2014,0
Upgrade,MASC906491,1-1M1PGA8L,4/22/2014,25
SUBSIDY,MASC906491,1-1M1PGA8L,4/22/2014,0
Upgrade,MASC913802,1-1M1RK31O,4/22/2014,25
SUBSIDY,MASC913802,1-1M1RK31O,4/22/2014,0
SUBSIDY,MASC997565,1-1M1U105F,4/22/2014,0
Service,MASC997565,1-1M1U105F,4/22/2014,37
Service,MASC995196,1-1M1ZWD36,4/22/2014,37
SUBSIDY,MASC995196,1-1M1ZWD36,4/22/2014,0
New Install,MASC913802,1-1LQ6GLVU,4/22/2014,60
SUBSIDY,MASC913802,1-1LQ6GLVU,4/22/2014,0
Upgrade,MASC910284,1-1M0A6S28,4/22/2014,25
SUBSIDY,MASC910284,1-1M0A6S28,4/22/2014,0
SUBSIDY,MASC995196,1-1M19F6MZ,4/22/2014,0
Upgrade,MASC995214,1-1M1FZITE,4/22/2014,25
SUBSIDY,MASC995214,1-1M1FZITE,4/22/2014,0
Upgrade,MASC998231,1-1M1NL9KI,4/22/2014,25
SUBSIDY,MASC998231,1-1M1NL9KI,4/22/2014,0
Upgrade,MASC996962,1-1M22QYNX,4/22/2014,25
SUBSIDY,MASC996962,1-1M22QYNX,4/22/2014,0
New Install,MASC914117,1-1LYLOIFS,4/22/2014,60
SUBSIDY,MASC914117,1-1LYLOIFS,4/22/2014,0
Upgrade,MASC997093,1-1M0AFK1J,4/22/2014,25
SUBSIDY,MASC997093,1-1M0AFK1J,4/22/2014,0
New Install,MASC995196,1-1M19F6MZ,4/22/2014,60
New Install,MASC998397,1-1M1C76IX,4/22/2014,60
SUBSIDY,MASC998397,1-1M1C76IX,4/22/2014,0
Upgrade,MASC995196,1-1M1LNQ5C,4/22/2014,25
SUBSIDY,MASC995196,1-1M1LNQ5C,4/22/2014,0
Upgrade,MASC998397,1-1LVQUOD8,4/22/2014,25
SUBSIDY,MASC998397,1-1LVQUOD8,4/22/2014,0
Upgrade,MASC914117,1-1M0F7791,4/22/2014,25
SUBSIDY,MASC914117,1-1M0F7791,4/22/2014,0
Upgrade,MASC998397,1-1M1VRBYP,4/22/2014,25
SUBSIDY,MASC998397,1-1M1VRBYP,4/22/2014,0
New Install,MASC996962,1-1M1XE5MF,4/22/2014,60
SUBSIDY,MASC996962,1-1M1XE5MF,4/22/2014,0
Upgrade,MASC997093,1-1M1NV3DO,4/22/2014,25
SUBSIDY,MASC997093,1-1M1NV3DO,4/22/2014,0
New Install,MASC998237,1-1LZWD1AE,4/22/2014,60
Upgrade,MASC997565,1-1M0FOEYO,4/22/2014,25
SUBSIDY,MASC997565,1-1M0FOEYO,4/22/2014,0
Upgrade,MASC995440,1-1M1S6ATF,4/22/2014,25
SUBSIDY,MASC995440,1-1M1S6ATF,4/22/2014,0
Upgrade,MASC907665,1-1M1ULPKW,4/22/2014,25
SUBSIDY,MASC907665,1-1M1ULPKW,4/22/2014,0
New Install,MASC995214,1-1LYYFC0S,4/22/2014,60
SUBSIDY,MASC995214,1-1LYYFC0S,4/22/2014,0
SUBSIDY,MASC998237,1-1LZWD1AE,4/22/2014,0
Former Install,MASC997093,1-1M1HWSQ2,4/22/2014,60
SUBSIDY,MASC997093,1-1M1HWSQ2,4/22/2014,0
Upgrade,MASC997565,1-1M1XRGH9,4/22/2014,25
SUBSIDY,MASC997565,1-1M1XRGH9,4/22/2014,0
Upgrade,MASC995214,1-1M0XWXL3,4/22/2014,25
SUBSIDY,MASC995214,1-1M0XWXL3,4/22/2014,0
New Install,MASC995196,1-1LS408XX,4/22/2014,60
SUBSIDY,MASC995196,1-1LS408XX,4/22/2014,0
Service,MASC911659,1-1M1ZA0G0,4/22/2014,37
SUBSIDY,MASC911659,1-1M1ZA0G0,4/22/2014,0
New Install,MASC906491,1-1M1FOCLP,4/22/2014,60
SUBSIDY,MASC906491,1-1M1FOCLP,4/22/2014,0
Service,MASC911659,1-1M1Y0CVA,4/22/2014,37
SUBSIDY,MASC911659,1-1M1Y0CVA,4/22/2014,0
Former Install,MASC999035,1-1M0VLR7L,4/22/2014,60
SUBSIDY,MASC999035,1-1M0VLR7L,4/22/2014,0
Service,MASC995166,1-1KIHZDWR,4/22/2014,-37
Upgrade,MASC999035,1-1LT8ZVBI,4/22/2014,25
SUBSIDY,MASC999035,1-1LT8ZVBI,4/22/2014,0
MRV ENABLED,MASC913802,1-1M1ACWHO,4/23/2014,0
IRD - ADVANCED WHOLE-HOME DVR,MASC996962,1-1M2HD2FW,4/23/2014,19
KA/KU LNB SWM 3,MASC910284,1-1M2ZLVA0,4/23/2014,0
SWM ODU HARDWARE,MASC910284,1-1M2ZLVA0,4/23/2014,0
KA/KU LNB SWM LABOR,MASC910284,1-1M2ZLVA0,4/23/2014,8
IRD - HD/DVR COMBO,MASC910284,1-1M2ZLVA0,4/23/2014,19
IRD - KA/KU,MASC910284,1-1M2ZLVA0,4/23/2014,19
MULTI-SWITCH 2X4,MASC995440,1-1M2V7UIK,4/23/2014,0
IRD - KA/KU,MASC910284,1-1M2ZLVA0,4/23/2014,19
IRD - KA/KU,MASC910284,1-1M2ZLVA0,4/23/2014,19
RECEIVER DECA,MASC910284,1-1M2ZLVA0,4/23/2014,0
MRV ENABLED,MASC910284,1-1M2ZLVA0,4/23/2014,0
ODU RELOCATE,MASC907665,1-1M2DQEEU,4/23/2014,18
NON DIRECTV EQUIPMENT,MASC907665,1-1M2DQEEU,4/23/2014,22
KA/KU LNB SWM 3,MASC914117,1-1M2NCRNN,4/23/2014,0
IRD - CLIENT,MASC914117,1-1M2NCRNN,4/23/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC914117,1-1M2NCRNN,4/23/2014,19
SWM ODU HARDWARE,MASC914117,1-1M2NCRNN,4/23/2014,0
KA/KU LNB SWM LABOR,MASC914117,1-1M2NCRNN,4/23/2014,8
"""ODU - 18""""""",MASC998237,1-1M1ACT67,4/23/2014,0
IRD - STANDARD,MASC998237,1-1M1ACT67,4/23/2014,19
IRD - STANDARD,MASC998237,1-1M1ACT67,4/23/2014,19
MULTI-SWITCH 2X4,MASC998237,1-1M1ACT67,4/23/2014,0
ODU RELOCATE,MASC998397,1-1LYCUL8Q,4/23/2014,18
NON DIRECTV EQUIPMENT,MASC998397,1-1LYCUL8Q,4/23/2014,22
MULTI-SWITCH 2X4,MASC998397,1-1LYCUL8Q,4/23/2014,0
MRV ENABLED,MASC998397,1-1LYCUL8Q,4/23/2014,0
IRD - KA/KU,MASC995440,1-1LZ84USA,4/23/2014,19
KA/KU LNB SWM 3,MASC995440,1-1LZ84USA,4/23/2014,0
IRD - HD/DVR COMBO,MASC997565,1-1M2E4Y4U,4/23/2014,19
IRD - STANDARD,MASC997565,1-1M2E4Y4U,4/23/2014,19
IRD - STANDARD,MASC997565,1-1M2E4Y4U,4/23/2014,19
KA/KU LNB SWM 3,MASC997565,1-1M2E4Y4U,4/23/2014,0
SWM ODU HARDWARE,MASC997565,1-1M2E4Y4U,4/23/2014,0
KA/KU LNB SWM LABOR,MASC997565,1-1M2E4Y4U,4/23/2014,8
MRV ENABLED,MASC997565,1-1M2E4Y4U,4/23/2014,0
KA/KU LNB SWM 3,MASC995214,1-1M2XEZEZ,4/23/2014,0
KA/KU LNB SWM 3,MASC906491,1-1LRLW8I3,4/23/2014,0
SWM ODU HARDWARE,MASC906491,1-1LRLW8I3,4/23/2014,0
KA/KU LNB SWM LABOR,MASC906491,1-1LRLW8I3,4/23/2014,8
IRD - CLIENT,MASC906491,1-1LRLW8I3,4/23/2014,15.25
IRD - CLIENT,MASC906491,1-1LRLW8I3,4/23/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC906491,1-1LRLW8I3,4/23/2014,19
SWM ODU HARDWARE,MASC995214,1-1M2XEZEZ,4/23/2014,0
KA/KU LNB SWM LABOR,MASC995214,1-1M2XEZEZ,4/23/2014,8
IRD - ADVANCED WHOLE-HOME DVR,MASC995214,1-1M2XEZEZ,4/23/2014,19
System Swap,MASC995064,1-1M27JYDS,4/23/2014,5
"""ODU - 18""""""",MASC995064,1-1M2ISS0S,4/23/2014,0
IRD - STANDARD,MASC995064,1-1M2ISS0S,4/23/2014,19
IRD - STANDARD,MASC995064,1-1M2ISS0S,4/23/2014,19
IRD - STANDARD,MASC995064,1-1M2ISS0S,4/23/2014,19
IRD - STANDARD,MASC995064,1-1M2ISS0S,4/23/2014,19
